Song Title,Streams,Daily
"O - Live at Royce Hall, Los Angeles",14933987,1188.0
Fix You,14894854,5470.0
Rainy Day,14746023,1609.0
"Another's Arms - Live at the Beacon Theatre, New York",14490081,1124.0
Guns,14080492,3112.0
Hymn for the Weekend - Live in Buenos Aires,13932611,4866.0
Clocks - Live in Buenos Aires,13767399,4469.0
* Something Just Like This - Dimitri Vegas & Like Mike Remix,13353610,1154.0
"Oceans - Live at E-Werk, Cologne",13248339,1041.0
Everglow - Live in Buenos Aires,12820434,3859.0
Adventure of a Lifetime - Live in Buenos Aires,12777420,7457.0
* Something Just Like This - R3hab Remix,12458652,2070.0
A Sky Full of Stars - Live in Buenos Aires,12409333,5972.0
Something Just like This - Live in Buenos Aires,12204715,4955.0
Magic - Live in Buenos Aires,11830430,3197.0
Charlie Brown - Live in Buenos Aires,11668239,3719.0
God Put a Smile upon Your Face - Live in Buenos Aires,11633800,2914.0
Clocks - Live,11426439,3315.0
In My Place - Live 2012,11416246,2531.0
Charlie Brown - Live,11327753,2428.0
De MÃºsica Ligera - Live in Buenos Aires,11232840,3511.0
My Universe - Supernova 7 Mix,10473124,3495.0
Always in My Head - Live in Buenos Aires,10446537,2499.0
Let Somebody Go - Kygo Remix,10430953,6123.0
Up&Up - Freedo Remix,10370292,947.0
"Have Yourself a Merry Little Christmas - Jo Whiley, BBC Radio 1 Session",10072625,36843.0
My Universe - Instrumental,9413003,1208.0
Higher Power - Acoustic Version,9391761,2905.0
We All Fall In Love Sometimes,9014294,1938.0
Every Teardrop Is a Waterfall - Live,8755954,1683.0
Midnight - Live in Buenos Aires,8635531,2154.0
In My Place - Live in Buenos Aires,8158161,2325.0
Up&Up - Live in Buenos Aires,8107738,2463.0
Day ânâ Nite - Spotify Singles,7923577,2065.0
Princess of China - Live,7812069,1269.0
Hurts Like Heaven - Live,7511975,1508.0
Let Somebody Go - Single Version,7444674,2049.0
"Fix You - Live from Arnhem, Netherlands",6905536,862.0
God Put a Smile upon Your Face - Live,6869092,1062.0
Yellow - Live in Sydney,6834095,1133.0
Lost?,6623411,1128.0
For You,6558587,1957.0
Mylo Xyloto - Live,6280412,1029.0
Us Against the World - Live,6101410,1027.0
Help Is Round the Corner,5848582,1628.0
Colour Spectrum - Live in Buenos Aires,5796149,1351.0
Orphans - Muzi Remix,5777666,656.0
Major Minus - Live,5491817,905.0
Amor Argentina - Live in Buenos Aires,5406097,1385.0
Higher Power - ZHU Remix,5402567,1228.0
See You Soon - Live in Sydney,5249036,1056.0
Up in Flames - Live,5133253,773.0
Let Somebody Go - Piano Version,5111207,2346.0
Moving to Mars,5031695,1106.0
Clocks - Live in Sydney,4902125,992.0
Crests of Waves,4900977,1337.0
* Something Just Like This - ARMNHMR Remix,4822523,497.0
Princess of China - Invisible Men Remix,4784418,680.0
Clocks - Radio Edit,4731971,1453.0
Ghost Story,4727860,1148.0
Careful Where You Stand,4579569,1334.0
I Ran Away,4551226,976.0
Let Somebody Go - Ofenbach Remix,4513257,1551.0
End Credits - Live in Buenos Aires,4479619,1103.0
Easy To Please,4424914,1179.0
Animals,4262905,989.0
I Bloom Blaum,4134829,1217.0
Moses - Live in Sydney,4107428,1099.0
Bigger Stronger,3995320,1294.0
Politik - Live in Sydney,3943679,948.0
All Your Friends,3892518,878.0
A L I E N S - Markus Dravs Remix,3857210,364.0
Talk,3811689,1591.0
A Rush of Blood to the Head - Live in Sydney,3753229,866.0
In My Place - Live in Sydney,3726893,657.0
Brothers & Sisters,3724165,732.0
* Something Just Like This - Jai Wolf Remix,3529593,472.0
Things I Don't Understand,3471344,837.0
Such a Rush,3337786,878.0
Only Superstition,3284131,752.0
You Only Live Twice - Live from Norway,3269285,403.0
No More Keeping My Feet on the Ground,3247380,780.0
God Put a Smile upon Your Face - Live in Sydney,3219121,574.0
Midnight - Giorgio Moroder Remix,3174420,353.0
2000 Miles,3129411,16872.0
1.36,3114383,519.0
Amsterdam - Live in Sydney,3084053,682.0
Don't Panic,3080677,1146.0
One I Love,2979572,810.0
Speed of Sound - Live,2892172,459.0
"Bittersweet Symphony - Live at Live 8, Hyde Park, London, 2nd July 2005",2838264,2071.0
"Life in Technicolor ii - Live at the O2, London",2816357,362.0
Everything's Not Lost - Live in Sydney,2815045,622.0
Shiver - Live in Sydney,2770470,508.0
One I Love - Live in Sydney,2720117,571.0
Let Somebody Go - Spotify Singles,2704733,742.0
Shiver (Jo Whiley Lunchtime Social),2615941,676.0
Proof,2573124,696.0
The Goldrush,2549677,430.0
O - Reprise,2513667,623.0
Higher Power - Alyx Ander Remix,2401400,626.0
The World Turned Upside Down,2298794,605.0
Champion Of The World - Live at NPR's Tiny Desk,2241139,480.0
Overtura - Music Of The Spheres album trailer,2213360,221.0
Sleeping Sun,2115310,725.0
Brothers & Sisters,2060051,506.0
Murder,1987566,566.0
Death Will Never Conquer,1925896,787.0
Talk - Thin White Duke Mix,1780944,363.0
"Lost@ - Live at the United Center, Chicago, IL",1675069,277.0
Talk - Junkie XL Remix,1559298,247.0
Pour Me - Live at the Hollywood Bowl,1427251,319.0
How You See the World - Live from Earls Court,1236313,349.0
"Viva La Vida - Live in Paris, 2008",1204748,890.0
A Spell a Rebel Yell,1176246,277.0
"Clocks - Live in Madrid, 2008",1147817,744.0
True Love - Davide Rossi Remix,1120146,194.0
"Fix You - Live in Sydney, 2009",1012952,746.0
"The Hardest Part / Postcards from Far Away - Live in Sydney, 2009",751923,683.0
"Strawberry Swing - Live in Madrid, 2008",588299,473.0
"Glass of Water - Live in Sydney, 2009",525608,425.0
Midnight - Jon Hopkins Remix,521281,309.0
"Death and All His Friends - Live in Madrid, 2008",520751,469.0
Talk - Francois K Dub,511168,58.0
"42 - Live in Madrid, 2008",457773,388.0
"In My Place - Live at Live 8, Hyde Park, London, 2nd July 2005",456210,445.0
How You See The World No. 2,430772,234.0
"Death Will Never Conquer - Live in Sydney, 2009",411093,339.0
A Sky Full of Stars - Robin Schulz Remix,373787,34.0
"Fix You - Live at Live 8, Hyde Park, London, 2nd July 2005",362836,340.0
"Viva La Vida - Live at the Enmore Theatre, Sydney",340006,54.0
"A Sky Full of Stars - Live at the Enmore Theatre, Sydney",315108,46.0
"Clocks - Live at the Enmore Theatre, Sydney",296975,48.0
"Magic - Live at the Enmore Theatre, Sydney; 2016 Remaster",263735,26.0
Adventure of a Lifetime - Yotto Remix,258042,719.0
"Oceans - Live at the Enmore Theatre, Sydney",185423,23.0
Paradise (TiÃ«sto Remix),123205,
ð,46207,89.0
